,City Name,Latitude,Longitude,Temprature,Humidity,Cloudiness,Max Temp,Wind Speed
0,Puerto Ayora,-0.74,-90.35,79.72,69,20,82.4,10.29
1,Busselton,-33.65,115.33,70.23,32,1,73.0,15.23
2,Iona,26.52,-81.96,71.47,56,40,75.2,17.22
3,Tiksi,71.69,128.87,-16.83,88,29,-16.83,11.86
4,Rawson,-43.3,-65.1,75.92,41,54,75.92,21.0
5,Acajutla,13.59,-89.83,80.01,66,0,80.01,1.99
6,Mataura,-46.19,168.86,71.08,45,99,71.08,2.21
7,Buluang,13.31,123.34,77.22,84,0,77.22,3.31
8,Avarua,-21.21,-159.78,84.2,83,100,84.2,12.75
9,Norman Wells,65.28,-126.83,-9.4,83,5,-9.4,8.05
10,Castro,-24.79,-50.01,60.87,88,99,60.87,7.58
11,Omboue,-1.57,9.26,74.53,94,100,74.53,3.2
12,Kodiak,57.79,-152.41,33.8,69,90,33.8,26.4
13,Kapaa,22.08,-159.32,75.15,60,75,78.8,19.46
14,Punta Arenas,-53.15,-70.92,51.44,62,40,51.8,32.21
15,Baykit,61.67,96.37,11.48,94,100,11.48,6.13
16,Jamestown,42.1,-79.24,16.74,66,1,19.0,4.7
17,Mitzic,0.78,11.55,70.27,95,82,70.27,3.96
18,Mount Gambier,-37.83,140.77,69.8,56,90,69.8,9.17
19,Vaini,-21.2,-175.2,80.6,94,90,80.6,14.99
20,Port Elizabeth,-33.92,25.57,68.0,77,75,68.0,12.75
21,San Cristobal,7.77,-72.22,84.2,62,40,84.2,8.05
22,Sioux Lookout,50.1,-91.92,15.8,78,90,15.8,9.17
23,Lebrija,36.92,-6.08,51.93,100,90,54.0,3.67
24,Bluff,-46.6,168.33,69.24,49,100,69.24,3.8
25,Tasiilaq,65.61,-37.64,15.8,66,0,15.8,2.24
26,George Town,5.41,100.34,79.41,83,40,80.6,3.36
27,Bengkulu,-3.8,102.27,73.8,93,93,73.8,3.38
28,Khatanga,71.97,102.5,-6.74,98,100,-6.74,1.25
29,Albany,42.6,-73.97,10.04,43,20,15.01,11.41
30,Dikson,73.51,80.55,-10.14,99,100,-10.14,11.01
31,Saint-Pierre,-21.34,55.48,75.56,78,90,78.8,5.82
32,Halifax,44.65,-63.57,7.56,77,90,9.0,27.51
33,Cabo San Lucas,22.89,-109.91,76.91,34,5,80.6,9.17
34,Tromso,69.65,18.96,13.93,72,100,17.6,14.99
35,Provincia di Mantova,45.17,10.78,43.36,93,75,45.0,3.36
36,Gumia,23.78,85.82,59.81,77,0,59.81,6.53
37,Narsaq,60.92,-46.05,23.0,67,100,23.0,6.93
38,Thompson,55.74,-97.86,-5.8,70,90,-5.8,8.05
39,Atuona,-9.8,-139.03,82.0,72,85,82.0,18.45
40,Porto Velho,-8.76,-63.9,82.4,78,20,82.4,2.24
41,Logansport,40.75,-86.36,29.68,63,90,32.0,12.75
42,Rio Gallegos,-51.62,-69.22,57.2,44,40,57.2,33.33
43,Nhulunbuy,-12.23,136.77,91.4,63,40,91.4,10.29
44,Hobart,-42.88,147.33,60.42,41,75,66.99,6.93
45,Ushuaia,-54.8,-68.3,46.4,87,75,46.4,29.97
46,Agvali,42.54,46.12,12.02,46,20,12.02,3.49
47,Flin Flon,54.77,-101.86,-2.2,70,90,-2.2,3.36
48,Port Alfred,-33.59,26.89,66.99,96,97,66.99,17.63
49,San Patricio,19.22,-104.7,84.2,74,75,84.2,5.82
50,Port Hedland,-20.32,118.57,86.0,84,99,86.0,13.87
51,Carnarvon,-24.87,113.63,80.6,61,40,80.6,18.34
52,Qujing,25.48,103.78,39.11,91,0,39.11,9.84
53,Mecca,21.43,39.83,69.28,89,85,69.28,6.31
54,Rikitea,-23.12,-134.97,77.67,80,11,77.67,15.61
55,Honningsvag,70.98,25.97,26.53,71,4,26.53,20.74
56,Bolkhov,53.44,36.0,30.87,94,78,30.87,6.53
57,Arraial do Cabo,-22.97,-42.03,75.88,79,100,75.88,20.29
58,Saskylakh,71.92,114.08,-8.48,94,30,-8.48,12.08
59,Yulara,-25.24,130.99,91.4,17,0,91.4,17.22
60,Skjervoy,70.03,20.97,23.4,73,63,23.4,17.38
61,Baruun-Urt,46.68,113.28,-2.67,98,99,-2.67,7.9
62,Bethel,41.37,-73.41,18.77,28,1,26.01,9.17
63,Inhambane,-23.86,35.38,82.17,82,41,82.17,10.27
64,Aswan,24.09,32.91,55.4,62,3,55.4,24.16
65,Bredasdorp,-34.53,20.04,64.24,77,100,64.4,11.41
66,Zyryanka,65.75,150.85,-13.36,98,100,-13.36,3.15
67,Trinidad,-14.83,-64.9,84.2,79,90,84.2,2.37
68,New Norfolk,-42.78,147.06,60.48,41,75,66.99,6.93
69,Chirongui,-12.93,45.15,80.6,88,100,80.6,8.05
70,Ixtapa,20.7,-105.2,79.79,74,20,80.6,10.29
71,Kholodnyy,62.72,147.95,-18.04,95,99,-18.04,2.77
72,Bahia Blanca,-38.72,-62.27,77.11,14,0,77.11,11.14
73,Mongoumba,3.64,18.59,68.86,28,37,68.86,2.44
74,Souillac,-20.52,57.52,79.92,78,40,80.6,8.05
75,Forsytheganj,52.63,29.73,29.97,95,0,29.97,5.97
76,Alexandria,31.22,29.96,58.26,82,40,59.0,11.41
77,Cape Town,-33.93,18.42,66.52,77,20,68.0,28.86
78,Nikolskoye,59.7,30.79,38.73,80,90,39.2,6.71
79,Esperance,-33.87,121.9,66.2,68,75,66.2,21.92
80,Cairns,-16.92,145.77,91.35,52,0,93.99,12.75
81,Johnstown,40.33,-78.92,22.37,62,1,27.0,3.36
82,Torbay,47.67,-52.73,23.27,92,90,24.01,66.21
83,Mar del Plata,-38.0,-57.56,67.24,63,0,68.0,9.17
84,The Pas,53.83,-101.25,-2.2,77,90,-2.2,5.82
85,Chota,-6.55,-78.65,69.8,37,20,69.8,10.29
86,Hanzhong,33.07,107.03,34.97,78,94,34.97,0.81
87,Barrow,71.29,-156.79,-0.4,70,1,-0.4,9.17
88,Provideniya,64.38,-173.3,4.87,94,99,4.87,7.16
89,Hithadhoo,-0.6,73.08,82.22,78,90,82.22,15.82
90,El Real de Santa Maria,8.11,-77.73,76.89,89,75,76.89,1.45
91,Boguchany,58.38,97.45,17.38,91,100,17.38,11.12
92,Linkou,45.3,130.28,-2.9,93,11,-2.9,2.62
93,Saint-Philippe,-21.36,55.77,75.43,78,90,78.8,5.82
94,Coahuayana Viejo,18.73,-103.68,84.2,48,40,84.2,11.41
95,Zhezkazgan,47.8,67.71,14.92,93,93,14.92,8.5
96,Maltahohe,-24.83,16.98,70.32,52,54,70.32,5.97
97,Vardo,70.37,31.11,12.2,85,20,12.2,12.75
98,Chokurdakh,70.63,147.92,-26.32,95,67,-26.32,3.27
99,Ilebo,-4.32,20.58,70.59,97,99,70.59,2.06
100,Hoopstad,-27.83,25.91,78.4,36,100,78.4,17.56
101,Heihe,50.24,127.49,-11.2,76,99,-11.2,2.24
102,Wuwei,37.93,102.64,17.78,77,100,17.78,0.67
103,Omachi,36.5,137.87,36.0,69,75,42.8,13.87
104,Aylesbury,51.82,-0.81,35.71,93,59,37.99,3.36
105,Tuktoyaktuk,69.45,-133.04,-5.8,76,20,-5.8,13.87
106,Iqaluit,63.75,-68.51,-11.11,69,75,-11.0,8.05
107,Hilo,19.73,-155.09,69.01,78,90,75.2,14.99
108,Kiruna,67.86,20.23,14.0,92,100,14.0,2.77
109,Ukwa,21.97,80.47,60.33,82,88,60.33,2.17
110,Phan Thiet,10.93,108.1,70.54,81,0,70.54,2.33
111,Khabary,53.63,79.53,23.43,90,100,23.43,15.39
112,Lorengau,-2.02,147.27,84.63,75,7,84.63,27.04
113,Salalah,17.02,54.09,68.0,40,0,68.0,9.17
114,Qaanaaq,77.48,-69.36,-15.03,60,0,-15.03,7.29
115,Pizarro,4.95,-77.37,82.92,82,29,82.92,9.13
116,Three Hills,51.7,-113.27,-15.09,56,40,-11.99,3.36
117,Kavieng,-2.57,150.8,84.78,74,11,84.78,25.05
118,Aldama,22.92,-98.07,74.25,82,64,77.0,4.23
119,Abu Samrah,35.3,37.18,43.32,84,100,43.32,7.65
120,Vila Franca do Campo,37.72,-25.43,62.6,93,75,62.6,6.93
121,Nome,64.5,-165.41,8.6,60,1,8.6,12.75
122,La Rioja,42.25,-2.5,32.63,89,85,33.8,3.29
123,Kalmunai,7.42,81.82,81.07,79,60,81.07,12.35
124,Butaritari,3.07,172.79,84.09,79,98,84.09,16.71
125,Kirakira,-10.45,161.92,84.54,68,60,84.54,4.18
126,Hermanus,-34.42,19.23,64.9,86,100,66.0,10.0
127,East London,-33.02,27.91,75.27,86,95,75.27,19.62
128,Ribeira Grande,38.52,-28.7,58.51,90,92,58.51,4.21
129,Broken Hill,-31.95,141.43,71.6,33,31,71.6,10.29
130,Severo-Kuril'sk,50.68,156.12,17.38,86,99,17.38,15.99
131,Susuman,62.78,148.17,-16.96,98,100,-16.96,1.41
132,Rach Gia,10.02,105.08,73.4,100,0,73.4,1.12
133,Ust'-Omchug,61.15,149.63,-17.27,96,100,-17.27,4.27
134,Bodden Town,19.28,-81.25,78.75,78,20,79.0,21.92
135,Singarayakonda,15.25,80.03,73.87,86,3,73.87,7.56
136,Petropavlovsk-Kamchatsky,53.05,158.65,5.0,84,40,5.0,6.71
137,Grand-Bourg,15.88,-61.31,73.4,88,0,73.4,3.36
138,Jurm,36.86,70.83,5.67,43,0,5.67,11.48
139,Saint George,37.1,-113.58,49.06,17,1,51.8,16.11
140,Deputatsky,69.3,139.9,-28.34,98,25,-28.34,1.66
141,Qui Nhon,13.77,109.23,65.68,93,7,65.68,4.05
142,Hong Kong,22.29,114.16,60.24,59,20,62.01,4.7
143,Alofi,-19.06,-169.92,80.38,85,100,80.38,31.16
144,Half Moon Bay,37.46,-122.43,51.55,71,1,55.99,5.82
145,Auki,-8.77,160.7,82.81,73,100,82.81,7.34
146,Mersing,2.43,103.84,80.37,83,42,80.37,16.13
147,Little Current,45.98,-81.92,7.34,71,1,8.6,8.05
148,Mananara,-16.17,49.77,81.57,79,100,81.57,6.33
149,Aykhal,66.0,111.5,-0.4,91,100,-0.4,4.47
150,Lianyuan,27.69,111.66,36.21,90,89,36.21,2.77
151,Sitka,57.05,-135.33,21.81,45,20,24.8,17.22
152,Airai,-8.93,125.41,75.87,78,60,75.87,1.68
153,Faanui,-16.48,-151.75,82.38,79,29,82.38,20.54
154,Alyangula,-13.85,136.42,91.4,63,24,91.4,12.75
155,Alpena,45.06,-83.43,19.89,78,1,24.8,5.82
156,Pisco,-13.7,-76.22,70.45,83,74,71.6,21.92
157,Upington,-28.45,21.26,82.4,39,20,82.4,14.99
158,Asau,46.43,26.4,32.0,77,90,32.0,9.17
159,Playas,-2.63,-80.38,75.43,82,24,75.43,10.27
160,Nanortalik,60.14,-45.24,24.62,81,100,24.62,19.73
161,Lagoa,39.05,-27.98,61.66,86,44,61.66,8.23
162,High Level,58.52,-117.14,-16.6,68,90,-16.6,9.17
163,Havre-Saint-Pierre,50.23,-63.6,-2.2,49,1,-2.2,11.41
164,Grindavik,63.84,-22.43,29.44,62,75,32.0,13.87
165,Saldanha,-33.01,17.94,64.4,72,0,64.4,18.34
166,Seydi,39.48,62.91,29.57,68,0,29.57,7.99
167,Kimberley,-28.73,24.76,77.0,47,89,77.0,8.05
168,Lingyuan,41.24,119.4,13.03,71,0,13.03,3.04
169,Pacific Grove,36.62,-121.92,52.74,50,1,57.2,3.36
170,Nautla,20.22,-96.78,69.26,80,89,69.26,1.43
171,Lekoni,-1.58,14.26,76.73,75,100,76.73,6.02
