,City Name,Latitude,Longitude,Temprature,Humidity,Cloudiness,Max Temp,Wind Speed
0,Tuatapere,-46.13,167.68,71.46,43,31,71.46,7.87
1,Albany,42.6,-73.97,23.85,46,75,28.99,17.22
2,Airai,-8.93,125.41,81.63,67,15,81.63,3.67
3,Bathsheba,13.22,-59.52,77.77,80,1,77.77,16.89
4,Sitka,57.05,-135.33,15.48,65,100,15.48,11.18
5,San Cristobal,7.77,-72.22,55.04,97,66,55.04,4.56
6,Hervey Bay,-25.3,152.85,84.99,61,37,84.99,11.01
7,Itainopolis,-7.45,-41.48,73.47,74,99,73.47,0.2
8,Rikitea,-23.12,-134.97,76.89,80,77,76.89,16.55
9,Inuvik,68.35,-133.72,-14.8,75,20,-14.8,10.29
10,Lebu,-37.62,-73.65,56.93,66,0,56.93,7.0
11,Atuona,-9.8,-139.03,81.55,75,4,81.55,22.12
12,Nome,64.5,-165.41,9.0,76,0,9.0,15.01
13,Karratha,-20.74,116.85,86.29,73,0,86.29,16.42
14,Hilo,19.73,-155.09,70.14,98,100,73.0,5.01
15,Castro,-24.79,-50.01,66.74,99,100,66.74,7.09
16,Upernavik,72.79,-56.15,-11.2,58,0,-11.2,4.65
17,Rawson,-43.3,-65.1,58.03,57,0,58.03,18.21
18,Pacific Grove,36.62,-121.92,42.37,81,40,46.99,9.17
19,Bengkulu,-3.8,102.27,86.4,63,85,86.4,2.35
20,Ahipara,-35.17,173.17,82.0,61,6,82.0,1.01
21,Cape Town,-33.93,18.42,70.23,78,3,73.0,18.34
22,Saldanha,-33.01,17.94,62.6,88,1,62.6,9.17
23,Lavrentiya,65.58,-171.0,9.36,94,100,9.36,8.7
24,Kavieng,-2.57,150.8,84.78,73,100,84.78,25.77
25,Leningradskiy,69.38,178.42,8.47,95,100,8.47,11.14
26,Hermanus,-34.42,19.23,71.91,91,100,73.0,1.01
27,Puerto Ayora,-0.74,-90.35,75.99,63,44,75.99,3.0
28,Eyl,7.98,49.82,71.78,69,65,71.78,25.43
29,Barrow,71.29,-156.79,14.0,78,1,14.0,12.75
30,Vaini,-21.2,-175.2,80.33,86,100,80.33,14.36
31,Colon,9.36,-79.9,80.01,73,71,80.01,1.99
32,Saint-Philippe,-21.36,55.77,76.23,74,100,79.0,3.36
33,Butaritari,3.07,172.79,84.34,79,80,84.34,17.38
34,Punta Arenas,-53.15,-70.92,51.01,87,84,51.01,15.01
35,Port Moresby,-9.44,147.18,87.8,66,75,87.8,17.22
36,Dikson,73.51,80.55,-2.88,97,99,-2.88,5.37
37,Ribeira Grande,38.52,-28.7,54.01,74,99,54.01,5.97
38,Hithadhoo,-0.6,73.08,81.68,78,39,81.68,17.58
39,Loiza,18.43,-65.88,71.78,76,0,75.99,9.8
40,Port Hardy,50.7,-127.42,26.6,100,75,26.6,4.7
41,Gravdal,68.12,13.5,36.18,96,100,36.18,9.89
42,Busselton,-33.65,115.33,82.81,29,0,89.01,13.22
43,Talnakh,69.49,88.4,4.62,91,100,4.62,25.23
44,Mataura,-46.19,168.86,77.05,53,1,77.05,1.57
45,Lavaltrie,45.88,-73.28,11.68,56,1,14.0,18.34
46,Port Alfred,-33.59,26.89,70.0,97,16,70.0,4.0
47,Tasiilaq,65.61,-37.64,17.6,44,0,17.6,6.93
48,Walvis Bay,-22.96,14.51,66.2,93,81,66.2,3.36
49,Sokolo,14.73,-6.12,62.56,16,50,62.56,11.25
50,Hobart,-42.88,147.33,57.18,60,57,59.0,14.05
51,Fayaoue,-20.65,166.53,78.64,81,0,78.64,21.41
52,Nunoa,-14.48,-70.64,39.18,80,93,39.18,5.97
53,Dno,57.83,29.96,40.95,82,100,40.95,9.91
54,Kaitangata,-46.28,169.85,66.0,64,0,66.0,18.88
55,Baykit,61.67,96.37,2.84,96,100,2.84,4.72
56,Urucara,-2.54,-57.76,75.31,94,83,75.31,2.44
57,Ushuaia,-54.8,-68.3,41.9,98,96,41.9,4.92
58,Okhotsk,59.38,143.3,-10.35,77,99,-10.35,9.01
59,Jamestown,42.1,-79.24,22.78,79,90,25.0,14.99
